results/AGENT-COORDINATION-ARCHIVE-20260707.md,54,2026-07-06,attention-fwd,combine-unroll post-qkrope boundary recheck,s4096+s3072,PARKED,2105Z log contaminated (absolutes ~5.7ms; means contradicted medians),parked with no source change; reclaim needs clean local GPU repeat
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3832,2026-07-04,infra-process,rmsbwd-fastpath validation abort,small,INVALID,JIT compile aborted when peer stashed same source files mid-run,ignore mkv3-p4b-rmsbwd-fastpath-testops.log (KeyboardInterrupt; no evidence)
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3845,2026-07-04,measurement,post-headtarget final-bench,nano+small,MEASUREMENT,mk nano 1247.7 vs hardened 710.0; small 4414.3 vs 2736.3,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3851,2026-07-04,measurement,post-headtarget profile,nano+small,MEASUREMENT,nano 1145.9; small 4371.7; small led by ATTN_DKV/RMSNORM_BWD/SWIGLU_BWD,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3857,2026-07-04,attention,attention chunk env sweep post-headtarget,nano+small,NO-GO,small keeps Ckv=1/Cq=1; nano Ckv=3 not stable in alternating A/B,no default change
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3869,2026-07-04,attention-dkv,MK_ATTN_DKV_X2_SD wgmma batching,nano+small,NO-GO,control 1145.0/4325.4 vs variant 1169.1/4510.8; DKV span flat (115.9->114.5; 551.9->556.9),correctness-clean; no-go note committed da25a3c
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3882,2026-07-04,rowop,MK_RMS_BWD_R4,nano+small,NO-GO,span improves (146.3->126.3; 466.3->443.9) but step medians 1244.2/4344.0 vs 1241.2/4370.6 no promote,no-go note committed 683a9f6
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3892,2026-07-04,gemm-dw,fused Drow/dOatt WGMMA route,small,NEUTRAL,drow span ~267->213.8 but ATTN_DKV 553->615.6; total worse 4373.5; medians noise 1242.6/4341.0 vs 1244.2/4344.0,do not merge without stronger evidence; recheck note 2edc88f
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3906,2026-07-04,rowop,MK_SWIGLU_BWD_R2,nano+small,NO-GO,control 1240.1/4352.0 vs variant 1250.0/4391.4; SWIGLU span worse (38.2->51.4; 323.5->347.4),do not merge
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3915,2026-07-04,attention,long-S attention chunk sweep,s4096+s8192,NO-GO,S4096 Ckv2 false-positive refuted (default 4373/4325/4345 vs 4417/4413/4416); S8192 10408.1 vs 10509.7 (Ckv2)/10726.3 (Ckv4),no default change
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3925,2026-07-04,measurement,s4096 default profile diagnostic,s4096,MEASUREMENT,ATTN_DQ on-path 999.7us span; ATTN_DKV off-path 846.8,next candidate: dQ C=1 direct-store epilogue
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3933,2026-07-04,attention-dq,DQ C1 direct-store timing invalidation,nano+small+s4096,INVALID,SGLang TP=2 (~54GB each) landed on GPUs 2/3 mid-run,outer-ab log contaminated must not be used; correctness clean; clean runner prepared
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3961,2026-07-04,attention-dq,DQ C=1 direct-store promotion,nano+small+s4096,PROMOTED,clean compare nano -10.7 small -23.5 S4096 -10.3; reverse repeat 1243.7/4326.9/4308.5 vs 1248.3/4340.3/4318.1,commits 4d577d1+90c8c14; post profile 1145.4/4353.4/4286.2
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3970,2026-07-04,gemm-dw,Drow/dOatt WGMMA re-gate post-DQ,nano+small+s4096,NO-GO,small 4328.3 vs 4367.3; tiny S4096 win (4310.8 vs 4302.6) does not offset short-S regression,keep no-go after DQ C=1
results/AGENT-COORDINATION-ARCHIVE-20260707.md,3991,2026-07-04,lm-head,head-dX target 192 over 256,small+s4096,PROMOTED,192: small 4315.7/4313.9 S4096 4297.5/4293.4 vs 256: 4332.8/4333.2 and 4315.2/4311.6; nano neutral,committed 1388e7a after validation
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4003,2026-07-04,measurement,post-headtarget192 profile + mode check,small+s4096,MEASUREMENT,small 4345.2 (DKV 580.5 RMSNORM 547.0); S4096 4268.6 (DQ 1104.1); df best 1237.0/4356.5 vs df2 1479.6/5078.1 ws 1320.3/4798.2,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4015,2026-07-04,attention-dq,DQ C=1 register-direct epilogue,small+s4096,PROMOTED,reverse small 4304.9 vs 4326.8 S4096 4248.1 vs 4314.5; warm-alt S4096 4251.9/4261.1 vs 4293.0/4292.6,commit 1a798e3 ff-merged; skips smem epilogue stage entirely for C==1
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4028,2026-07-04,measurement,post-DQ-reg profile @3d921b5,nano+small+s4096,MEASUREMENT,nano 1134.1; small 4306.6; S4096 4212.4 (DQ 1057.8 RMSNORM 648.2),
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4040,2026-07-04,attention-fwd,fwd register-direct O epilogue,nano+small+s4096,NO-GO,first 4269.4/4291.3 S4096; reverse variant/control 4298.2/4262.2 loses,keep smem coalesced O drain
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4056,2026-07-04,attention-dq,DQ chunked direct atomics (C>1),s4096,NO-GO,default Cq1 4299.7 vs staged Cq2 4350.4 vs direct-atomic Cq2 4341.7,keep MK_ATTN_DQ_C=1
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4070,2026-07-04,ce,CE_BWD two-row tile,nano+small+s4096,NO-GO,first pass positive (4263.9 vs 4246.5) but reverse refuted (4255.4/4254.0); local CE span only 45.0/101.8us,keep one-row CE_BWD
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4088,2026-07-04,executor,executor mode recheck (ws lookahead),small,NO-GO,df 4372.0 vs df2 5026.7 vs ws-la1 4789.6 vs ws-la2 5494.9,do not spend next lane on ws scheduler without new mechanism
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4099,2026-07-04,gemm-dx,MK_WGMMA_NN_MIN routing sweep,nano+small,NO-GO,32/16 looked better broad but order-sensitive; alternating: 64 best (small 4306.3/4313.6/4311.7 vs 32 4323.5/4316.5),keep 64
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4110,2026-07-04,lm-head,head-target current-head sweep,small+s4096,NO-GO,160 small 4310.1 vs 192 4312.2; 224 S4096 4252.8 vs 4257.7 marginal; alternating no confirm,keep 192
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4123,2026-07-04,attention-dkv,DKV direct-atomic epilogue probe,nano+small+s4096,NO-GO,small 4307.7/4320.1; S4096 4253.1/4290.8; reverse 4319.9/4318.5,keep coalesced smem drain; flipped and PROMOTED next day (3925ea6)
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4136,2026-07-04,measurement,current-head profile @692df0f,nano+small+s4096,MEASUREMENT,nano 1137.9; small 4340.2; S4096 4232.4 (DQ 1062.7),next lane should be dependency/fusion structure not env knobs
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4156,2026-07-04,attention,attention-bwd DQ-first instruction order,s4096,NO-GO,alternating control 4266.7 vs dq-first 4304.7 (19/20 quads favor control ~28-49us),long-S DQ wait not solved by enqueue order; later flipped at S8192 post-band
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4176,2026-07-04,itax-dag,per-layer non-state scratch,nano+small+s4096,NO-GO,DAG deps 2030->1190 fan-in 68->54 but steps 1226.8/1237.2 4346.4/4359.0 4259.9/4264.3,false-dep removal did not translate under hot/cold scheduler
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4195,2026-07-04,attention,attention tail-barrier elision,nano+small+s4096,NO-GO,1240.3/1275.9; 4328.0/4514.7; 4267.1/4430.2 variant 0 wins,final syncs needed or runtime branch costs more than barrier saved
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4213,2026-07-04,rowop,RMSNORM_BWD dx/dw split,nano+small+s4096,PROMOTED,control/split nano 1266.8/1260.7 small 4507.1/4498.3 S4096 4403.9/4403.1; local GPU confirm 1274.7/1269.9 4510.9/4503.7 4406.5/4397.7,commit c3fa4c2; dX consumers no longer wait on dw atomic drain
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4231,2026-07-04,measurement,post-rmssplit profile,nano+small+s4096,MEASUREMENT,RMS dW off-path (106.2/321.8/200.8); RMS dX on-path 148.3/569.0/670.7; S4096 DQ 1061.2,next lane: kernel quality or another chain split
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4249,2026-07-04,rowop,QKNORM_ROPE_BWD dx/dw split,nano+small+s4096,NO-GO,nano tiny gain (1277.5/1273.1); small 4552.9/4652.0 S4096 4493.5/4582.2 variant 0 wins,unlike RMS split adds too much cold work at model scale
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4266,2026-07-04,executor,session 0b544181 late results,nano+small,NOTE,MPK-topology probe NO-GO (5.09us/hop mailbox vs df 3.0; prefetch counterproductive); ws snapshot -717us small; la=2 fix stress-clean 200 steps; racecheck+synccheck clean; MK_CLAIM=132 optimal post-SW128,session wind-down summary
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4273,2026-07-04,measurement,crossover retraction (baseline bug),all,WITHDRAWN,bench.py SDPA was 3-D silent math decomposition (no flash ever in v3 measurements); honest gaps nano 1.95x small 2.29x S4096 2.80x S8192 3.35x,bench.py fixed 4-D+enable_gqa (commit dcb24e9); rebase pending measurements
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4281,2026-07-04,architecture,round-2 results + register-lifetime law,nano+small+deep,LAW,register-resident reuse LOSES at 8 warps/SM: rmsnorm single-pass +240us qknorm register-dw +58us both reverted; ce_bwd uint4 -33us; gauntlet 1.76x/1.62x/1.58x/1.72x/1.75x/1.71x,prefer independent load streams with short lifetimes
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4291,2026-07-04,executor,la=1 ws stall retraction + measured negatives,small,WITHDRAWN,2a5bc25 stall claim retracted (sglang co-tenant; clean ws small=4890us no dribble); rowop claim floor 2/4 +275/+838; DKV_C=1 confirmed best,la=2 q_ins clobber still real by code analysis; guard every timed run
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4301,2026-07-04,rowop,rowop MLP round,nano+small,PROMOTED,net small 4470 nano 1261,commit 41d9d84; use private TORCH_EXTENSIONS_DIR (shared cache races)
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4306,2026-07-04,executor,nsys occupancy law + occupancy-via-spill,nano+small,LAW,SM issue 19% warps-in-flight 12% DRAM <10% (latency-bound at 1/8 occupancy; bandwidth not limiter); __launch_bounds__(256;2) REG:128 STACK:944 nano +32% small +40%,fixes must add per-warp MLP; occupancy-via-spill loses (a234018); cold_cap/claim knobs exhausted
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4314,2026-07-04,lm-head,lm_head n128 + head dX retune branch gate,nano+small,NO-GO,clean gate: ws+n128 NEGATIVE vs ws base (mkonly 4410.7 vs 4496.5 small; warm 4393.1 vs 4492.5),do not merge n128 branch (8008126/0c0a1a4); n128 idea later re-landed shape-gated
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4341,2026-07-04,infra-process,rowop-only clean baseline worktree,small,SCAFFOLD,worktree at 41d9d84 passed py_compile + git diff --check,for clean rowop-only timing when GPU free
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4346,2026-07-04,infra-process,rowop/n128 clean compare runner,nano+small,SCAFFOLD,run_rowop_n128_clean_compare.sh passed bash -n; private ext dirs; 80-iter mkonly timing,run only on clean idle full-memory GPU
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4351,2026-07-04,infra-process,ws-baseline compare runner,nano+small,SCAFFOLD,ws-baseline worktree at 2a5bc25 py_compile clean; runner pins mode=df,the n128 merge gate after 2a5bc25
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4359,2026-07-04,lm-head,head dX target 512->256,nano+small,PROMOTED,nano 1246.6/1235.4->1225.3/1222.8; small 4392.9/4390.8->4362.5/4363.5; still positive after CE_BWD + hint merges,commits a5df459/ce58d94 merged via f67f551
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4375,2026-07-04,gemm-dw,Drow (bit10) on wgmma,small,PROMOTED,small -43us,commit 2a297ca
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4387,2026-07-04,infra-process,round summary,nano+small,NOTE,SW128 gemm layout + gated NN routing (6fe8fcb); attention chunk retune (915f2d7); rowop MLP (41d9d84); lm_head n128 span 280.5->141.1 + head dX ~155->~137; dx_split_k checked NOT promoted,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4396,2026-07-04,measurement,timing cautions / contaminated logs,nano+small,INVALID,GPUs 2/3 sglang ~99%; rowop-n128 prof+mkonly logs contaminated; 170807Z partial log KeyboardInterrupt no evidence,correctness logs from same branch still valid
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4419,2026-07-04,gemm-dw,long-S Drow/dOatt WGMMA gate,s4096,PROMOTED,S4096 4428.1/4398.3 (19/20) + variant-first confirm 4443.7/4438.5 (18/20),commit 49e9481; gate S>=2048; MK_DROW_WG_LONGONLY=0 restores WMMA
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4436,2026-07-04,measurement,post-Drow-long profile,nano+small+s4096,MEASUREMENT,nano 1165.5; small 4530.7; S4096 4421.3 (DQ 960.8 + 125.4 wait); Drow route 108.3us span,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4451,2026-07-04,executor,legacy constant consumer sync,nano+small+s4096,NO-GO,control 1192.5/4105.4/3960.0 vs variant 1258.8/4497.3/4366.7,keep mk_tid()/dynamic-barrier helper; this timing pair later invalidated but conclusion re-confirmed clean
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4460,2026-07-04,executor,legacy-sync A/B correction,nano+small+s4096,INVALID,control root had dirty peer N128-NN route in mk.py/ops.cuh — comparison mixed two candidates,ignore 212725Z timing pair for legacy-sync; keep parity result; rerun vs clean detached control
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4469,2026-07-04,executor,corrected clean-control legacy-sync A/B,nano+small+s4096,NO-GO,clean control 1189.1/4212.2/4041.9 vs variant 1261.9/4507.6/4374.0,old constant threadIdx/bar.sync semantics much slower; leave worktree unmerged
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4479,2026-07-04,measurement,post-N128 profile @07b8586,nano+small+s4096,MEASUREMENT,nano 1111.4; small 4117.5; S4096 3915.7 (DQ 924.8 + 112.3 wait),N128 moved GEMM balance substantially
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4490,2026-07-04,gemm-dx,MK_WGMMA_N128_NN_MIN sweep @07b8586,nano+small+s4096,NO-GO,16 looked slightly better broad; 1 unsafe at S4096; alternating no confirm,keep 32
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4510,2026-07-04,attention,nano Ckv3 c742-baseline repeat,nano,NO-GO,Ckv2 1188.2/1170.3/1172.0 vs Ckv3 1178.3/1171.9/1174.2,07b Ckv3 win collapses under new cold-cap default; keep Ckv formula
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4516,2026-07-04,measurement,c742 profile post-coldcap16,nano+small+s4096,MEASUREMENT,nano 1093.9; small 4053.7; S4096 4003.8 (DQ 882.7 + 159.8 wait),
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4529,2026-07-04,scheduling,short-shape DQ cold-ring demotion,nano+small+s4096,NO-GO,nano neutral/noisy; small catastrophic 4062.9->4500.2/4510.8; S4096 neutral,keep ATTN_DQ hot; q-side readiness matters
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4551,2026-07-04,scheduling,long-S cold-cap default (cap0 S>=2048),s4096,PROMOTED,S4096 cap0 3916.1-3917.8 vs cap16 4009.5-4009.8; default caps 16/16/0 medians 1184.8/4108.1/3918.4,commit 45e6e71; MK_COLD_CAP still overrides
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4565,2026-07-04,measurement,post-longScap profile,nano+small+s4096,MEASUREMENT,nano 1099.1; small 4077.6; S4096 3900.7 (DQ 918.2 + 114.4 wait),
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4577,2026-07-04,tma-smem,dynamic-smem default correction (100KB),nano+small+s4096,PROMOTED,control/variant nano 1192.7/1185.6 small 4084.6/4079.7 S4096 3921.8/3919.3; reverse confirms short-shape direction,commit d0808a7; 120KB carveout only under MK_ATTN_PIPE=1
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4594,2026-07-04,measurement,post-d0808a7 profile,nano+small+s4096,MEASUREMENT,nano 1091.9; small 4028.2; S4096 3939.5 (DQ 929.2),
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4606,2026-07-04,gemm-dw,Drow force-all WGMMA recheck,nano+small+s4096,NO-GO,short shapes no gain (nano 1190.7/1187.1 then reverse 1191.9/1196.8); S4096 confirms already-promoted long direction,keep c.S>=2048 default gate
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4622,2026-07-04,lm-head,head-dX target sweep @d0808a7,small+s4096,NO-GO,small by target 128-256: 4092.4/4079.5/4056.6/4071.6/4078.4 (192 wins); S4096 128 only ties,keep 192
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4634,2026-07-04,scheduling,long-S DKV cold-ring demotion,s4096,NO-GO,control 3944.8 vs variant 3989.9 (+41.3 median; variant 1/24),keep DKV hot even when off-path in profile
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4658,2026-07-04,scheduling,mid-S cold-cap retune (cap33 for 1024<=S<2048),small+s1024,PROMOTED,small cap33 vs cap16 -9.3 (15/20); S1024 -2.0 (16/24); nano cap24 negative +7.0,commit d60963b; caps 16/33/0 by S
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4672,2026-07-04,measurement,post-d60963b profile,nano+small+s1024+s4096,MEASUREMENT,nano 1101.6; small 4017.5; S1024 1446.7 (cap33); S4096 3913.0 (cap0; DQ 917.6),
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4685,2026-07-04,gemm-fwd,n128 short-row auto-gate,s128+s256+nano+deep,PROMOTED,s128 -49.8 (23/24); s256 -19.1 (22/24); nano -9.1 (20/24); deep -38.1 (19/20); S1024 noise -3.7,commit 0384dcd; mode 0 M<256 / mode 2 256<=M<1024 / mode 1 M>=1024
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4706,2026-07-04,measurement,default timing snapshot @0384dcd,all shapes,MEASUREMENT,nano 1209.0; small 4114.9; deep 2990.2; S128 890.2; S256 1019.5; S1024 1530.2; S4096 3961.9,route/cap snapshot; promotion evidence stays the paired A/B
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4716,2026-07-04,measurement,post-0384dcd profile,nano+small+s1024+s4096,MEASUREMENT,nano 1088.8; small 4063.7 (DKV 445.4); S1024 1436.2; S4096 3913.4 (DQ 924.3),
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4729,2026-07-04,attention,attention chunk re-sweep @0384dcd,multi,NO-GO,Ckv3 rejected S128/S256; nano -1.4 then confirm +2.3 (19/40) noise; S1024 -1.3 (21/40) noise,keep current DKV chunk defaults
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4742,2026-07-04,measurement,full scoreboard @0384dcd,all shapes,MEASUREMENT,nano 1191.2 vs 561.6 (2.12x); small 4100.8 vs 1902.1 (2.16x); deep 3027.9 vs 1777.6 (1.70x); S128 903.9 vs 491.1 (1.84x),S256/S1024 baselines Dynamo recompilation-warning contaminated; rerun fresh
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4755,2026-07-04,gemm-dx,QA MK_WGMMA_NN_MIN re-sweep post-n128,nano+small,NO-GO,32/48/64/96 all within noise (nano 1072-1093 unstable; small 4084-4126),default 64 stands
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4759,2026-07-04,rowop,RMS dx four-row fold (R4) s2048 gate,s2048,PROMOTED,S2048 -6.6 (77/100)/-13.1 (88/100) reverse; guard sweeps rejected wider defaulting (S1024/S3072/S4096 neutral; forced H512 regressed),commit 00ba7eb; 576 R4 dx tiles at S2048 only
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4779,2026-07-04,gemm-dw,Drow-WGMMA long-gate interaction check,s2048+s4096,NO-GO,S2048 +0.5 (38/80)/-6.3 (57/80) mixed; S4096 -26.1 (79/80)/-24.1 (75/80) favors default,keep gate after S2048 RMS dx change
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4790,2026-07-04,scheduling,MK_CLAIM quantum sweep @00ba7eb,nano+small+s2048,NO-GO,132 won every shape both orders (nano 1161.6/1148.3; small 4048.0/4046.6; S2048 2232.0/2228.4); 96/192/264 materially slower,keep MK_CLAIM=132
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4800,2026-07-04,measurement,post-00ba7eb profile,nano+small+s2048+s4096,MEASUREMENT,nano 1080.4; small 4060.5; S2048 2188.7 (DKV 416.8; RMSNORM_R4 181.7); S4096 3902.9 (DQ 919.3),
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4813,2026-07-04,gemm-fwd,MK_WGMMA_N128 mode check,s2048+s4096,NO-GO,auto/mode1 route identically (25 n128 instrs); mode2 ~4012-4018 mode0 ~4079-4082 slower at S4096,keep auto gate
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4824,2026-07-04,scheduling,MK_COLD_CAP s2048/s4096 sweep,s2048+s4096,NO-GO,S2048 cap33 +9.7 (13/100) then +0.2 (49/100) rejected; S4096 cap8 especially bad,keep S>=2048 uncapped
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4835,2026-07-04,measurement,focused scoreboard @00ba7eb,nano+small+s2048,MEASUREMENT,nano 1176.7 vs 636.6 (1.85x); small 4108.2 vs 1900.5 (2.16x); S2048 2348.9 vs 1041.9 (2.25x),no Dynamo warnings in final rows
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4854,2026-07-04,lm-head,s2048 head-dX target-96 gate,s2048,PROMOTED,96-vs-192 -39.0 (94/100)/-14.4 (95/100); promoted -35.8 (91/100)/-10.4; head split-K 3->1,commit 94701de; default mkonly nano 1179.6 small 4099.8 S2048 2215.2 S4096 3915.5
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4872,2026-07-04,measurement,post-94701de profile,nano+small+s2048+s4096,MEASUREMENT,nano 1077.3; small 4033.7; S2048 2185.0 (head dX 95.3 sk=1); S4096 3878.6,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4889,2026-07-04,lm-head,nano head-dX target 224,nano,NO-GO,local GPU -14.8 (109/120) but local GPU repeat mixed: first order favors 192 by -9.3 (90/120) reverse favors 224 by -4.8 (87/120),keep nano at 192; only S2048 keeps target-96 gate
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4900,2026-07-04,gemm-dx,MK_WGMMA_N128_NN sweep @94701de,small+s2048+s4096,NO-GO,auto/min16/min32 route-identical (noise); NN=0 slower (4133.6/2231.0/3972.4); min64 regresses small/S2048,keep NN=1 min32
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4911,2026-07-04,attention-dkv,DKV G2 fused tile (G==2 Ckv==1),small+s2048+s4096,NO-GO,+221.0/+223.7 small; +322.5/+326.0 S2048; +455.0/+453.8 S4096 control 80/80,lost G-parallelism dominates removed K/V reloads + atomic drains
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4927,2026-07-04,measurement,focused scoreboard @46313e6,nano+small+s2048,MEASUREMENT,nano 1176.1 vs 634.9 (1.85x); small 4107.5 vs 1903.6 (2.16x); S2048 2283.9 vs 1045.3 (2.18x; was 2348.9),
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4939,2026-07-04,gemm-dw,cold dW split-K target retune,all shapes,PROMOTED,nano -57.3/-62.1; small -232.2/-230.4; S2048 -109.6/-101.6; S4096 -170.6/-167.9; focused refresh 1138.5/3852.3/2143.8/3745.4,commit 580db4d; implicit target 192 K<2048 / 128 K>=2048
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4967,2026-07-04,attention,s2048 attention C=2 gate,s2048,PROMOTED,default-vs-old -39.8/+26.1/-25.6/+35.4 (135-140/140 new-default wins); focused S2048 2076.8 (-207.1 vs 46313e6),commit 65d9f1e; DKV_C=2/DQ_C=2 H256/S2048 only
results/AGENT-COORDINATION-ARCHIVE-20260707.md,4999,2026-07-05,gemm-dw,long-S TN WGMMA dW gate,s3072+s4096+s8192,PROMOTED,S3072 -54.2/+52.1; S4096 -106.8/+105.8; S8192 -332.8/+337.7; S2048 excluded (+22.1/+19.6 loses),commit f687ef5; TN WGMMA only K>=3072; focused 1111.7/3820.4/2085.4/2889.2/3640.7/8956.2
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5028,2026-07-05,gemm-dw,Drow WGMMA default broadening,small,PROMOTED,small -24.8/+31.4 knob recheck (113-117/120); default A/B -21.4/+19.9 (131-134/150); focused small 3789.6 (-30.8),commit dc53b75; default whenever wgmma_ok accepts Drow epilogue GEMM
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5047,2026-07-05,attention,QA attention-C rotation confirmation,nano+small,NO-GO,small DQ1 3776-3806 vs DQ2 ~3854 reproducible x3; Ckv formula (small 1 / nano 2) decisively right; bare small 3778.5 nano 1017.8,independent confirmation of defaults; no changes needed
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5055,2026-07-05,attention,long-S attention chunk re-sweep @dc53b75,s2048-s8192,NO-GO,auto wins S3072/S4096/S8192; S2048 already promoted 2/2,no change; post-dc53b75 profile: small still DKV+MLP/SwiGLU/RMS; long-S DQ-dominated
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5077,2026-07-05,gemm-dx,nano NN_MIN=48 isolated validation,nano,NO-GO,earlier -3.0 median (242/360) did not reproduce: +0.5 (166/360),side worktree unmerged then removed
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5093,2026-07-05,scheduling,small cap16 confirmation,small,NO-GO,+0.6 (168/360),keep cap33 small/S1024 and uncapped long-S
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5097,2026-07-05,executor,df2 executor recheck @dc53b75,nano+small+s2048+s4096,NO-GO,df2 slower +207..478us zero wins,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5101,2026-07-05,executor,ws executor recheck @dc53b75,nano+small+s2048+s4096,NO-GO,ws slower +70..199us (1 win total),shared source remains dc53b75
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5118,2026-07-05,rowop,qknorm D=64 cache fast path,multi,PROMOTED,nano -6.7; small -26.6; S2048 -17.7; S4096 -30.5 paired-diff medians; resusage unchanged; focused 1115.3/3789.8/2061.2/2876.4/3633.7/8900.4,commit 86a174b; MK_QKBWD_D64_CACHE=0 restores generic loop
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5148,2026-07-05,lm-head,s3072 head-dX target gate,s3072,PROMOTED,target96 -19.8/-15.5 (112/120; 106/120); clean combined -8.1 (267/320); split-K 2->1 / 192->96 tiles,commit f0888dc
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5168,2026-07-05,lm-head,small head-dX target gate,small,PROMOTED,target96 -15.7/-11.8 (98/100; 92/100); combined -6.7 (238/320); split-K 3->1 / 64 tiles,commit d23c38a; targets 128/256 regress
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5186,2026-07-05,attention,attention C/chunk recheck post-headdx,small+s3072+s4096,NO-GO,all of DKV_C=2 DQ_C=2 2/2 and C=4 regress,keep C=1 defaults
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5199,2026-07-05,rowop,small RMS dx R4 gate,small,PROMOTED,confirm -9.23 (326/440); default-vs-old -5.23 (310/440); 17 R4 instrs / 544 tiles vs 1088,commit 33646d6; S3072/S4096 remain no-go; parity worst grad rel 0.0289
